,O1 A,O1 A1,O1 B,O1 C,O2,O3,O4,O4.2,O5 ab,O5 ac,O6,O6.2,O6.3,O7,O8,O9,O9 a,O10,O11,O12,O13,O15,O16,O16.2,O16.3,O17,O18 A,O18 A1,O18 A1A2,O18 ab,O18 ac,O18 B,O18 B1,O19 ab,O20 ab,O20 ac,O21,O22,O23 A,O24,O25,O26,O27,O28 ab,O28 ac,O29,O30,O32,O35,O36,O37,O38,O39,O40,O41,O42,O43,O44,O45,O45 rel,O46,O48,O49,O52,O53,O55,O56,O58,O59,O61,O62,O64,O65,O66,O68,O69,O70,O71,O73,O73 ab,O74,O75,O76,O77,O78,O79,O82,O83,O85,O86,O86.2,O86.3,O87,O88,O90,O91,O96,O97,O98,O99,O100,O101,O102,O103,O104,O105,O107,O108,O109,O110,O111,O112 ab,O112 ac,O113,O114,O115,O116,O117,O118,O119,O120,O121,O123,O124,O125 ab,O126,O126.2,O127,O128 ab,O128 ab.2,O128 ac,O129,O130,O131,O132,O133,O134,O135,O136,O137,O138,O139,O140,O141,O142,O143,O145,O146,O147,O148,O149,O150,O151,O152,O153,O154,O155,O156,O157,O158 ab,O158 ac,O159,O160,O161,O163,O164,O165,O166,O167,O168,O169,O170,O171,O172,O173,O174 ab,O174 ac,O175,O176,O177,O178,O180,O181,O182,O183,O184,O185,O186
O1 A,0.0,0.0,1.0,0.75,0.5,2.4013166666666668,1.72943125,1.737305,1.75,1.75,1.5,1.5,1.5,1.73974625,2.1458333333333335,2.0875,1.9609375,1.0,1.9765625,1.75,1.0,1.7991083333333335,1.95703125,1.7109375,1.953125,2.25,1.8515625,2.2308125,2.2215,1.70703125,1.7265625,1.70703125,2.0,1.8880200000000003,2.25,2.525,2.544954166666667,1.975,2.175,2.25,2.3125,1.625,3.2835125,1.5,1.75,2.38929625,2.0,2.225,1.3375,2.3432,1.75,1.75,1.6875,1.95214875,1.6807299999999998,1.9281000000000001,1.7265625,2.0,1.8794625,1.7991083333333335,2.0,1.4609375,1.73974625,1.75,0.75,2.6524125,2.0833333333333335,1.9325916666666665,1.9140625,2.0416666666666665,2.9583333333333335,1.5,2.0625,1.9140625,2.2629625,1.8671875,1.7492675,1.5,2.4425,1.75,2.0773166666666665,1.9166666666666667,2.0,2.1875,1.75,1.7890625,1.958985,2.175,1.9195562499999999,1.7387700000000001,1.5,1.7387700000000001,1.5,1.9480541666666664,1.7363275,1.925,1.9623412500000001,2.6862250000000003,1.5,2.25,1.25,2.25,2.794954166666667,2.065625,2.0,1.5,1.85,1.75,1.8230541666666664,1.5,2.549341666666667,1.9479975,1.99609375,1.72119125,1.75,1.4375,2.1125,1.85,1.75,1.7124025,1.8630200000000001,1.75,1.75,2.9375,2.2227875,1.5,1.7986125,1.9609375,1.5,1.5,1.5,1.25,2.73465,2.25,1.7625,1.7625,2.0,1.738705,2.1666666666666665,2.4180541666666664,1.4467775,1.4456833333333332,2.2278000000000002,2.2335541666666665,1.7265625,1.74609375,1.8333333333333333,1.7038875,1.7297975,1.47666875,1.3035708333333333,1.2625,1.73840375,1.70703125,2.0625,1.25,2.5460541666666665,1.72973625,1.75,2.5208333333333335,2.2521916666666666,1.5,1.7265625,2.0833333333333335,1.7363275,2.8125,2.0,1.9140625,1.975,1.72119125,2.25,1.71069375,2.0,1.85,1.75,1.8402791666666667,1.7223166666666667,1.9625,1.9375,1.470215,2.0630200000000003,1.4375,1.75,1.9320374999999999,2.25,1.75,1.9125,1.75
O1 A1,0.0,0.0,1.0,0.75,0.5,2.3179833333333333,1.72943125,1.737305,1.75,1.75,1.5,1.5,1.5,1.73974625,2.1041666666666665,2.0875,1.9609375,1.0,1.9765625,1.75,1.0,1.715775,1.95703125,1.7109375,1.953125,2.25,1.8515625,2.2308125,2.2215,1.70703125,1.7265625,1.70703125,2.0,1.8880200000000003,2.25,2.525,2.5032875000000003,1.925,2.175,2.2916666666666665,2.3125,1.6666666666666667,3.4085125,1.5,1.75,2.38929625,2.0,2.225,1.3875,2.384866666666667,1.75,1.75,1.6875,1.95214875,1.7557299999999998,1.9281000000000001,1.7265625,2.0,1.8794625,1.7574416666666668,2.0,1.4609375,1.73974625,1.75,0.75,2.5274125,2.0,1.9325916666666665,1.9140625,2.0416666666666665,2.9166666666666665,1.5,2.0625,1.9140625,2.2879625,1.8921875,1.7492675,1.5,2.5675,1.75,2.0773166666666665,1.875,2.0,2.1875,1.75,1.6890625,1.958985,2.175,1.9195562499999999,1.7387700000000001,1.5,1.7387700000000001,1.5,1.9063875,1.7363275,1.975,1.9623412500000001,2.6862250000000003,1.5,2.25,1.25,2.25,2.8782875000000003,2.090625,2.0,1.5,1.8,1.75,1.7813875,1.5,2.5910083333333334,1.9479975,1.99609375,1.72119125,1.75,1.4375,2.1125,1.8,1.75,1.7124025,1.9130200000000002,1.75,1.75,2.8541666666666665,2.2227875,1.5,1.7569458333333332,1.9609375,1.5,1.5,1.5,1.25,2.73465,2.25,1.6875,1.8125,2.0,1.738705,2.125,2.3763875,1.4467775,1.4456833333333332,2.2278000000000002,2.2335541666666665,1.7265625,1.74609375,1.8333333333333333,1.7038875,1.7297975,1.47666875,1.4285708333333333,1.3125,1.73840375,1.70703125,2.0625,1.25,2.6710541666666665,1.72973625,1.75,2.5625,2.293858333333333,1.5,1.7265625,2.125,1.7363275,2.8541666666666665,2.0,1.9140625,2.0,1.72119125,2.25,1.71069375,2.025,1.85,1.75,1.8402791666666667,1.7223166666666667,1.9625,1.9375,1.470215,2.0380200000000004,1.4375,1.75,2.0153708333333333,2.25,1.75,1.9125,1.75
O1 B,1.0,1.0,0.0,0.25,1.0,2.460525,1.5,1.72149625,2.21875,1.9939575,1.97265625,1.96875,1.97265625,1.9370725,1.8139874999999999,1.7635424999999998,1.5,1.23034625,2.21289,1.75,1.0,1.8333333333333333,1.75,1.75,1.75,1.97265625,1.5,1.955,2.1877,1.7236325,1.5,1.7236325,2.1875,1.3375,1.9375,2.175,2.7291666666666665,2.175,2.5949999999999998,2.2305541666666664,2.7927625,1.5833333333333333,3.2916666666666665,1.95703125,1.71875,2.25,2.216666666666667,2.34375,1.003125,2.54715,2.19336,1.97265625,1.72558625,1.75,1.8625,1.73828125,2.0,1.75,1.8348208333333333,1.8333333333333333,2.25,1.9491275,1.977265,2.0,1.5,2.2708333333333335,1.9388874999999999,2.275,2.0,2.25,2.736841666666667,1.75,2.2,1.8260424999999998,2.1643525,1.1635425,2.0,1.96875,2.375,1.75,2.275,1.5861124999999998,2.25,1.75,2.0,2.0375,2.0,2.54375,1.75,1.75,1.5,1.75,1.75,2.2722208333333334,1.75,2.225,1.9765625,3.1658125,1.75,1.75,1.25,2.5,2.875,2.05,2.0,1.7469999999999999,2.090105,1.75,2.3138875,1.72265625,2.648025,2.15625,2.2109375,1.75,2.21875,1.75,2.25,2.090105,1.738525,1.941795,1.2385424999999999,2.0,2.0,3.0416666666666665,2.25,1.5,1.695,1.5,1.73828125,1.97265625,1.73828125,1.25,3.0219291666666663,2.25,1.8375,1.5375,2.25,1.23352,2.5104166666666665,2.65625,1.5,1.4791666666666667,2.4454725,2.5219291666666668,1.738525,1.98904375,2.086308333333333,1.46289,1.25,1.25,2.0639875,0.9770825000000001,1.5,1.5,2.2,1.49902375,2.7521916666666666,1.96850625,1.9939575,2.7708333333333335,2.6041666666666665,1.75,1.983215,2.086308333333333,1.75,3.0,2.25,1.75,2.0125,1.9863275,2.2,1.9824225,2.20052,2.1,1.5,2.1472208333333334,2.0013875,1.9260424999999999,1.75,1.5,2.2,1.75,2.0,2.316666666666667,2.25,1.75,2.0625,2.0
O1 C,0.75,0.75,0.25,0.0,0.75,2.3771916666666666,1.5,1.4794925,2.0,1.75,1.75,1.75,1.75,1.75,1.9419625,1.8875,1.728515,0.9857325,1.99707,1.75,1.22168,1.7083333333333333,1.75,1.75,1.75,2.0,1.25,1.75,2.0,1.5,1.25,1.5,2.0,1.6125,2.0,2.325,2.6052625,2.0,2.375,2.2708333333333335,2.543858333333333,1.4673666666666667,3.338766666666667,1.703125,1.5,2.2318,2.2083333333333335,2.36875,1.02934,2.4407875000000003,1.9609375,1.75,1.710205,1.75,1.59375,1.6796875,1.75,2.0,1.75,1.7083333333333333,2.25,1.7078250000000001,1.953125,1.75,1.25,1.9835541666666667,2.044445833333333,2.1722208333333333,1.75,2.2083333333333335,2.8541666666666665,1.5,2.2,1.8,2.1287025,1.35,1.75,1.75,2.41,1.96875,2.2138875,1.5250000000000001,2.25,1.95703125,2.0,1.975,2.0,2.51875,1.6875,1.7480475,1.71337875,1.7480475,1.703125,2.025,1.75,2.225,1.75,3.0,1.5,2.0,1.0,2.5,2.8333333333333335,2.025,2.0,1.72516,2.075,1.75,2.1083333333333334,1.5,2.6315791666666666,1.997375,2.203125,1.5,2.0,1.5,2.225,2.05,1.49609375,1.7466275,1.46302,2.0,1.75,2.9166666666666665,2.21,1.7227625,1.7708333333333333,1.728515,1.5,1.75,1.5,1.46722375,2.875,2.25,1.675,1.5291675,2.25,1.240235,2.46875,2.6979166666666665,1.5,1.3833958333333332,2.22236,2.3793875,1.5,1.75,2.0416666666666665,1.47412125,1.47265625,1.25,1.8169625,1.22257,1.5,1.703125,2.2,1.25,2.543858333333333,1.75,1.75,2.6940791666666666,2.6041666666666665,1.5,1.9270025,2.0833333333333335,1.75,2.875,2.25,1.75,2.025,1.74707,2.205,1.74414,2.15,1.975,1.703125,1.9819458333333333,1.9222208333333333,1.975,1.95703125,1.25,2.2,1.75,1.9609375,2.2138875,2.435,1.5,2.025,1.75
O2,0.5,0.5,1.0,0.75,0.0,2.5679833333333333,1.7320562499999999,1.7194825,1.75,1.5,1.5,1.5,1.5,1.75,2.013075,1.9901049999999998,1.9580075,1.25,1.978515,1.9624025,1.25,1.9166666666666667,2.0,1.9375,1.96875,2.0,1.7164312499999999,2.0,2.0,1.96582,1.7164312499999999,1.96582,2.23,1.6645825000000003,2.1875,2.525,2.6502208333333335,2.0760425,2.4476199999999997,2.2763875,2.4440791666666666,1.7083333333333333,3.4094208333333333,1.75,1.75,2.42,2.1097208333333333,2.25,1.0807725,2.3865416666666666,1.75,1.75,1.72168,1.75,1.8546875,1.95410125,1.95703125,1.9921875,1.9196416666666665,1.8333333333333333,2.0,1.4707025,1.75,2.0,0.75,2.606358333333333,1.9847208333333333,2.0141666666666667,2.0,2.0952375,2.8958333333333335,1.75,2.025,1.925,2.1037025,1.6661450000000002,1.96875,1.5,2.3975,1.75,2.0751833333333334,1.875,2.0,1.9667975,1.75,1.7776049999999999,1.958985,2.275,1.75,1.98120125,1.75,1.98120125,1.75,1.8958333333333333,1.95703125,2.025,1.75,3.048475,1.72265625,2.2225,1.480575,2.25,2.8366208333333334,1.925,2.0,1.74186125,1.8541674999999997,1.9995112499999999,1.9375,1.75,2.5554583333333336,1.9550775,1.99877875,1.75,1.75,1.6875,2.05,1.8291674999999998,1.75,1.5,1.7395825000000003,2.0,2.0,2.9375,2.37,1.75,1.9925916666666665,1.9580075,1.5,1.5,1.5,1.4848025,2.7719291666666663,2.25,1.625,1.6526049999999999,2.0,1.5,2.125,2.3763875,1.25,1.5619666666666667,2.4205125,2.2554833333333333,1.7164312499999999,1.5,1.8877541666666666,1.488235,1.4794925,1.5,1.4689625,1.3518675,1.95037875,1.90600625,2.025,1.45703125,2.9210541666666665,1.75,1.5,2.6524125,2.356358333333333,1.71875,1.734375,2.0955583333333334,1.95703125,3.0208333333333335,2.0,2.20068375,2.075,1.75,2.4524999999999997,1.74707,2.125,2.0291675,1.9082025,2.0277791666666665,1.9097208333333333,1.9083550000000002,1.72558625,1.5,2.025,1.25,1.75,1.9720375,2.4370000000000003,1.75,1.8822924999999997,2.0
O3,2.4013166666666668,2.3179833333333333,2.460525,2.3771916666666666,2.5679833333333333,0.0,2.7083333333333335,2.5,2.6666666666666665,2.8399125,2.794954166666667,2.5625,2.7116208333333334,2.6621083333333333,3.0,3.033333333333333,2.9583333333333335,2.125,2.7871083333333337,2.7083333333333335,2.4583333333333335,2.3333333333333335,2.75,2.9583333333333335,2.9583333333333335,3.0,2.0657875000000003,2.0625,2.3125,2.1041666666666665,2.0241208333333334,2.2291666666666665,1.8125,3.3,2.75,2.375,2.3333333333333335,2.502083333333333,1.8125,2.6666666666666665,2.57375,2.3262533333333333,3.328533333333333,2.5,2.7083333333333335,1.9857458333333333,2.53125,2.7694433333333337,2.6666666666666665,2.6073,2.5515333333333334,2.4407875000000003,2.669954166666667,2.549341666666667,1.91875,2.5,2.579120833333333,2.7916666666666665,2.6666666666666665,2.3333333333333335,2.9616208333333334,2.1940791666666666,2.9166666666666665,2.3333333333333335,2.3366208333333334,2.296875,2.6041666666666665,2.5205083333333334,2.5657875000000003,2.890625,2.6666666666666665,2.1666666666666665,2.966666666666667,2.7333333333333334,3.0833333333333335,2.9,2.1491208333333334,2.6666666666666665,2.607454166666667,2.8541666666666665,2.6100266666666667,1.6666666666666667,2.8333333333333335,3.1666666666666665,2.4166666666666665,2.6875,2.6041666666666665,2.7694433333333337,2.3333333333333335,2.5,2.625,2.4166666666666665,2.38885,2.2913416666666664,2.7532875000000003,2.6,2.481358333333333,3.0,2.3399125,2.7083333333333335,2.293858333333333,3.0833333333333335,2.3177083333333335,2.86875,2.75,2.2576750000000003,2.7666666666666666,2.5635958333333333,2.32312,2.1458333333333335,2.5205083333333334,2.2916666666666665,2.5416666666666665,2.25,2.6666666666666665,2.0,2.8854166666666665,2.6,2.3333333333333335,2.4616208333333334,2.7666666666666666,2.669954166666667,2.5833333333333335,2.3333333333333335,2.5208333333333335,2.4583333333333335,2.0,2.9166666666666665,2.611841666666667,2.938595833333333,2.611841666666667,2.4166666666666665,2.6666666666666665,3.2083333333333335,2.55,2.7333333333333334,3.0032875000000003,2.5416666666666665,2.903646666666667,2.6354166666666665,2.5065791666666666,2.629633333333333,2.5844291666666668,2.574996666666667,2.5208333333333335,2.6469291666666668,2.571615,2.8958333333333335,2.9616208333333334,2.7083333333333335,2.3020833333333335,2.6666666666666665,2.2916666666666665,2.3541666666666665,2.9,2.6491208333333334,1.6666666666666667,2.3410083333333334,2.8815791666666666,2.56901,2.8512366666666664,2.0416666666666665,2.3991208333333334,2.6666666666666665,2.7116208333333334,2.3333333333333335,3.044954166666667,2.3958333333333335,2.6333333333333333,2.4024125,2.607454166666667,2.2291666666666665,2.935416666666667,2.7,2.3541666666666665,2.614171666666667,2.3251133333333334,2.783333333333333,2.9616208333333334,2.4583333333333335,2.933333333333333,3.0,2.447366666666667,2.28599,2.7565791666666666,2.5833333333333335,2.8333333333333335,2.6666666666666665
O4,1.72943125,1.72943125,1.5,1.5,1.7320562499999999,2.7083333333333335,0.0,0.5,1.75,1.5,2.18042,1.95703125,2.18042,1.75,1.5416666666666667,1.4506575,1.25,1.5,1.75,0.5,1.25,0.9671141666666667,1.25,0.75,0.75,1.75,1.25,1.75,1.75,1.4375,1.25,1.4375,1.9375,1.325,1.75,2.6425,2.793858333333333,1.5177625,2.125,2.2722208333333334,1.9583333333333333,1.1506999999999998,3.482791666666667,1.25,1.24177,2.0,2.2083333333333335,1.95625,1.7125,2.625,2.1875,1.96411125,1.75,1.25,1.8,1.71118125,2.0,1.75,1.4185625000000002,1.2102291666666667,1.5,1.75,1.5,1.5,1.7392575,2.5866208333333334,2.25,2.2291666666666665,1.75,1.8333333333333333,2.8958333333333335,1.7324225,1.7625,1.45007,2.1291675,1.2256575,2.0,1.5,2.205,1.9423825,2.0847208333333334,1.9583333333333333,1.75,1.25,1.5,1.952175,1.9375,1.74375,1.7265625,1.75,1.75,1.75,1.5,2.0416666666666665,1.25,1.74375,1.75,3.25,1.25,2.25,1.25,1.75,2.9791666666666665,1.3552624999999998,1.75,2.0,1.73125,1.25,1.7944458333333333,1.25,2.4385958333333333,1.953125,2.0,1.75,1.75,1.75,1.353125,1.615625,1.25,1.9491575,1.475,1.5,1.25,2.6875,2.23,1.5,1.9180541666666666,1.25,1.9739375,1.9739375,1.9739375,1.5,2.8958333333333335,1.5,1.2625,1.5385875,1.5,1.25,1.9166666666666667,2.5,1.0,1.5416666666666667,2.3674999999999997,2.5208333333333335,1.5,1.75,1.71875,1.734375,1.25,1.0,1.4583333333333333,1.639675,1.5,1.75,1.7625,1.5,2.751095833333333,1.5,1.5,2.4583333333333335,2.6458333333333335,1.75,1.9609375,1.71875,1.25,2.6875,1.75,1.75,1.7902175,1.75,2.0,1.75,1.551315,1.2401325,1.5,2.044445833333333,1.9819458333333333,1.559375,1.5,0.5,1.796875,1.5,1.5,2.1875,2.0,1.25,1.6125,1.0
O4.2,1.737305,1.737305,1.72149625,1.4794925,1.7194825,2.5,0.5,0.0,2.203125,1.9707025,2.0,1.75,2.0,1.5,2.0416666666666665,2.05052,1.75,1.69140625,1.5,1.0,1.25,1.3726625,1.25,1.25,1.25,1.74902375,1.46221875,1.75,1.75,1.48339875,1.46221875,1.48339875,1.9827762500000001,1.75,2.25,2.46,2.677633333333333,1.9541674999999998,1.9243275,2.2083333333333335,1.8991208333333336,1.525404166666667,3.151266666666667,1.75,1.70703125,2.13319,2.1458333333333335,2.325,1.7099825,2.5416666666666665,2.19628875,1.95703125,1.5,1.75,1.9432299999999998,1.68862875,1.75,1.73828125,1.8690458333333335,1.6614583333333333,2.0,1.72168,1.99414,2.0,1.5,2.4616208333333334,2.279166666666667,2.0002791666666666,1.5,2.25,2.7543875,1.70703125,2.3,1.8557299999999999,1.93889,1.7005200000000003,1.75,1.9609375,2.105,1.75,1.9583333333333333,2.012779166666667,2.25,1.75,2.0,2.0760425,1.98535125,2.175,1.727295,1.75,1.96167,1.75,2.0,1.9611124999999998,1.75,2.2,1.75,3.196425,1.75,2.1875,1.25,2.25,2.688595833333333,1.8291674999999998,2.25,2.16272,2.075,1.75,1.6708333333333334,1.75,2.446270833333333,1.72265625,1.75,1.5,2.203125,1.75,1.8760424999999998,1.9026049999999999,1.75,1.7363275,1.7270825000000003,2.0,1.75,2.4594291666666668,1.9820437499999999,1.75,1.9470374999999998,1.75,1.75,1.75,1.75,1.25,2.7302625,2.0,1.7,1.6145825000000003,2.0,1.25,2.4166666666666665,2.5416666666666665,1.48828125,1.7559541666666665,2.42124125,2.481358333333333,1.7042237500000001,1.734375,2.0833333333333335,1.5,1.75,1.480225,1.8169625,1.775,1.72265625,1.75,2.25,1.25,2.7719291666666663,1.25,1.9707025,2.3541666666666665,2.5274125,1.75,1.96875,2.0416666666666665,1.75,2.4594291666666668,2.25,1.95581,1.8770825000000002,1.5,2.2175000000000002,1.5,2.1510425,1.7760424999999997,1.71051,1.9765749999999997,1.9708333333333332,1.825,2.0,1.0,2.3,1.9827875000000001,1.25,2.0416666666666665,2.1875,1.75,2.125,1.5
O5 ab,1.75,1.75,2.21875,2.0,1.75,2.6666666666666665,1.75,2.203125,0.0,0.25,1.25,1.25,1.25,1.7236325,1.8333333333333333,1.75,1.75,2.0,1.7109375,1.75,2.21875,1.5,2.1875,1.75,1.75,2.25,2.0,2.5,2.5,2.0,2.0,2.0,2.4125,1.9,1.25,2.24994375,2.5504374999999997,1.5,1.9575,2.4166666666666665,2.6666666666666665,1.4166666666666667,3.385870833333333,1.5,1.75,2.4625,2.0166666666666666,1.55,2.0,2.6666666666666665,1.25,1.75,1.953125,1.25,1.8,2.25,1.75,2.25,1.5833333333333333,1.5833333333333333,1.25,1.5,1.5,1.5,1.5,2.75,2.4166666666666665,1.9403708333333334,2.0,1.5006875,3.0833333333333335,1.75,1.4052624999999999,1.6,2.5518525,1.75,1.0,0.5,2.7,1.75,2.1003708333333333,2.0111125,1.0,1.75,1.25,1.7334125,1.5,1.5,2.0,1.6796875,1.6875,1.6796875,1.25,2.0,1.20833375,1.3539474999999999,2.125,3.5,1.25,2.6875,2.0,1.25,2.559670833333333,1.525,1.25,2.23,1.0001375,1.5,2.0,1.5,2.5601333333333334,1.5,1.488525,1.5,0.5,1.75,1.55,1.0001375,1.5,1.75,2.1,1.5,1.5,2.625,2.21732,1.75,2.25,1.25,1.5,1.488525,1.5,2.25,2.6710541666666665,1.5,1.6,2.0,1.25,2.1875,1.5,2.25,1.25,1.875,2.1775,2.6666666666666665,1.75,1.5,1.6666666666666667,1.75,1.5,1.5,1.4166666666666667,2.0543475,2.1875,2.1875,1.251315,1.75,2.6754374999999997,1.953125,1.0,2.4583333333333335,2.6018000000000003,1.75,1.5,1.8333333333333333,1.5,2.625,1.25,1.75,2.0543475,1.9375,2.6625,1.9375,1.525,1.55,2.1875,1.875,1.875,1.6,1.25,1.5,1.1,1.5,2.0,1.9403708333333334,2.4121725,1.25,0.9002074999999999,1.5
O5 ac,1.75,1.75,1.9939575,1.75,1.5,2.8399125,1.5,1.9707025,0.25,0.0,1.5,1.5,1.5,1.7207025,1.625,1.55,1.5,1.98535125,1.9140625,1.5,1.9765625,1.3333333333333333,2.0,1.5,1.5,2.0,1.75,2.25,2.25,2.0,1.75,2.0,2.4625,1.625,1.4375,2.3025,2.508770833333333,1.576315,2.0,2.3388875,2.7521916666666666,1.4204541666666666,3.344204166666666,1.5,1.5,2.465,2.1305541666666667,1.775,1.825,2.6293875,1.5,1.75,1.9375,1.25,1.825,2.0,1.75,2.0,1.4204541666666666,1.4204541666666666,1.48611125,1.75,1.25,1.5,1.73046875,2.7335541666666665,2.3388875,2.0953708333333334,2.0,1.5647375,2.9583333333333335,1.75,1.2554025,1.425,2.3018525,1.55,1.25,0.75,2.4825,1.75,2.0557416666666666,2.0833333333333335,1.25,1.5,1.5,1.7016300000000002,1.75,1.65,1.75,1.6923825,1.4851075,1.6923825,1.25,2.044445833333333,1.2217075,1.5289475,2.0,3.5,1.25,2.4375,1.75,1.5,2.75,1.55,1.4938275,2.1875,1.2001374999999999,1.5,2.044445833333333,1.5,2.8004374999999997,1.75,1.738525,1.7421875,0.75,1.75,1.4552625,1.2501375,1.5,1.5,1.9021750000000002,1.5,1.5,2.6293875,2.20466,1.5,2.0833333333333335,1.2415125,1.6875,1.70336875,1.6875,2.0,2.7083333333333335,1.5,1.4526325,1.875,1.48611125,1.9375,1.6666666666666667,2.4583333333333335,1.0,1.6839250000000001,2.2418,2.7083333333333335,1.5,1.5,1.6666666666666667,1.5,1.25,1.25,1.4204541666666666,1.8793475000000002,1.9375,1.9848637500000001,1.2519725000000002,1.5,2.6875,1.9707025,0.75,2.460525,2.7171041666666667,1.75,1.72265625,1.8333333333333333,1.47916625,2.6293875,1.25,1.953125,1.8793475000000002,1.9609375,2.435,1.9609375,1.6144725000000002,1.5751374999999999,1.9848637500000001,1.9136125,1.9552791666666665,1.4026325,1.25,1.25,1.425,1.25,2.0,2.0537041666666664,2.25,1.0,0.9330325,1.5
O6,1.5,1.5,1.97265625,1.75,1.5,2.794954166666667,2.18042,2.0,1.25,1.5,0.0,0.25,0.0,1.5,1.8862666666666665,2.1875,2.19653375,1.75,1.91693125,1.73828125,2.0,2.0252958333333333,2.1738275,1.97265625,1.97265625,1.75,1.96850625,2.41,2.41,1.71875,1.96850625,1.71875,2.1681999999999997,2.2875,2.0,2.37,2.5866208333333334,2.0,2.1875,2.3777791666666666,2.5032875000000003,1.8511916666666668,2.885870833333333,1.75,1.97265625,2.4616800000000003,1.7389833333333335,2.1,2.0380200000000004,2.6875,1.5,1.75,1.5,1.71875,1.825,1.96411125,1.75,1.75,1.9211291666666668,1.9211291666666668,2.0,1.5,1.966125,2.0,1.25,2.8541666666666665,2.419445833333333,1.7291666666666667,1.728515,1.8042083333333334,2.9583333333333335,2.0,1.8,1.7161450000000003,2.0916675,1.9875,1.703125,1.25,2.2131875,1.4980775,1.8878708333333334,1.989075,1.5,1.73828125,1.5,1.575,1.75,2.1,1.96875,1.96221875,1.72412125,1.96221875,1.75,2.0458333333333334,1.7265625,1.9,2.1617125,3.5,1.75,2.4375,1.990235,1.5,2.4759333333333333,1.440105,1.96875,2.0,1.6,1.75,2.0875,1.96875,2.6880208333333333,1.73957875,1.73957875,1.90692125,1.25,1.75,1.8125,1.60625,2.0,1.49414,2.1125,1.7265625,1.75,2.9583333333333335,2.2012,1.72917125,2.066666666666667,1.9453125,1.5,1.4980475,1.5,1.97753875,2.5833333333333335,2.25,1.9921875,1.91875,2.0,2.174805,2.0833333333333335,2.0,1.7365724999999999,1.8541666666666667,2.4074999999999998,2.423245833333333,1.73828125,1.5,2.023808333333333,1.9767000000000001,1.96484375,1.74121125,1.8511916666666668,1.92257,2.0,1.7171625000000001,1.7932299999999999,1.91015625,2.918858333333333,1.9140625,1.5,2.5866208333333334,2.3546875000000003,1.75,1.5,2.2619041666666666,1.5,2.6666666666666665,1.75,1.7395625,1.9822699999999998,1.75,2.41,1.94256625,2.1,1.8791674999999999,1.9140625,1.9338875,1.9338875,1.9921875,1.48828125,1.98339875,1.8625,1.737915,1.9609375,2.0195375,2.4516,1.75,1.65575,2.0
O6.2,1.5,1.5,1.96875,1.75,1.5,2.5625,1.95703125,1.75,1.25,1.5,0.25,0.0,0.25,1.5,1.8445999999999998,2.1875,2.19653375,1.75,1.91693125,1.9140625,1.97753875,1.8794625,2.1738275,1.97265625,1.97265625,1.75,1.74414,2.185,2.41,1.9453125,1.74414,1.9453125,2.21,2.2875,2.0,2.37,2.3004374999999997,2.0,1.9375,2.3388875,2.75,1.8511916666666668,3.260870833333333,1.75,1.96191375,2.44238,1.4891666666666667,2.1,2.08802,2.5625,1.5,1.75,1.5,1.70703125,1.8791674999999999,1.9609375,1.75,1.75,2.0252958333333333,1.9211291666666668,2.0,1.5,1.966125,2.0,1.25,2.7916666666666665,2.3361125,1.6458333333333333,1.728515,1.8584166666666668,2.9166666666666665,2.0,1.775,1.7161450000000003,2.0416675,2.0125,1.703125,1.25,2.2131875,1.4980775,1.8125,1.8690749999999998,1.5,1.73828125,1.5,1.6,1.75,2.1,1.7265625,1.96221875,1.72412125,1.96221875,1.75,2.0416666666666665,1.7265625,1.9,1.94043,3.5,1.75,2.4375,1.9296875,1.5,2.6409291666666665,1.6166674999999997,1.96875,2.0,1.525,1.75,2.0416666666666665,1.90625,2.5,1.4895025,1.73957875,1.69569375,1.25,1.75,1.7875,1.63125,2.0,1.49414,2.1125,1.7265625,1.75,2.875,2.2012,1.706895,1.7722208333333331,1.9453125,1.5,1.4980475,1.5,1.9927975,2.793858333333333,2.25,1.9125,1.91875,2.0,2.1484375,2.0833333333333335,2.1041666666666665,1.7050775,1.9449416666666668,2.4074999999999998,2.5032875000000003,1.5,1.4851687500000001,2.0119041666666666,1.9767000000000001,1.96484375,1.74121125,1.8392875,2.0916675,1.97222875,1.6875,1.7182299999999997,1.91015625,2.960525,1.89453125,1.5,2.544954166666667,2.5416666666666665,1.75,1.75,2.25,1.5,2.9583333333333335,1.75,1.953125,1.9,1.5,2.45,1.703125,2.1,1.9541674999999998,1.9375,1.684075,1.684075,1.9671875,1.48828125,1.9668575000000001,1.8125,1.737915,1.9609375,1.9166666666666667,2.4516,1.75,1.6307500000000001,2.0
